y_true,y_pred,residual
2588.0,2617.8898524583838,-29.889852458383757
4216.0,4333.100541425777,-117.10054142577701
8090.0,8113.826168145051,-23.82616814505127
5985.0,5850.91642380033,134.08357619966955
5507.0,5502.015141065507,4.984858934492877
6817.0,6695.537903602475,121.46209639752487
6052.0,6188.188250849052,-136.18825084905166
8453.0,8225.49595756143,227.50404243856974
4283.0,4356.251335321981,-73.25133532198106
8008.0,7805.687375674201,202.31262432579933
7718.0,7647.708587576171,70.29141242382866
7448.0,7517.575723212191,-69.5757232121914
